"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Streptococcus","massiliensis",NA,"4401825; CCUG 49690; CIP 108498; DSM 18628; NCTC 13765","VP; sp. nov.; validly published under the ICNP; correct name",784987,"https://lpsn.dsmz.de/species/streptococcus-massiliensis"
"Streptococcus","merionis",NA,"CCUG 54871; DSM 19192; NCTC 13788; WUE3771","VP; sp. nov.; validly published under the ICNP; correct name",787808,"https://lpsn.dsmz.de/species/streptococcus-merionis"
"Streptococcus","minor",NA,"CCUG 47487; DSM 17118; LMG 21734; NCTC 14635; ON59","VP; sp. nov.; validly published under the ICNP; correct name",781360,"https://lpsn.dsmz.de/species/streptococcus-minor"
"Streptococcus","mitis","carlssonii","CCUG 55085; LMG 33510; SK608","VP; subsp. nov.; validly published under the ICNP; correct name",62576,"https://lpsn.dsmz.de/subspecies/streptococcus-mitis-carlssonii"
"Streptococcus","mitis","mitis","ATCC 49456; Carlson's strain NS 51; CCUG 31611; CCUG 35790; CIP 103335; JCM 12971; LMG 14557; NCTC 12261; NS 51","VP; subsp. nov.; validly published under the ICNP; correct name",62575,"https://lpsn.dsmz.de/subspecies/streptococcus-mitis-mitis"
"Streptococcus","moroccensis",NA,"CCMM B831; LMG 27682","VP; sp. nov.; validly published under the ICNP; correct name",791998,"https://lpsn.dsmz.de/species/streptococcus-moroccensis"
"Streptococcus","mutans",NA,"ATCC 25175; CCUG 11877; CCUG 17824; CCUG 6519; CIP 103220; DSM 20523; HAMBI 1519; IFO 13955; JCM 5705; LMG 14558; NBIMCC 1786; NBRC 13955; NCTC 10449","VL; sp. nov.; validly published under the ICNP; correct name",781363,"https://lpsn.dsmz.de/species/streptococcus-mutans"
"Streptococcus","nakanonensis",NA,"CCUG 76894; JCM 35953; MTG 105","VL; sp. nov.; validly published under the ICNP; correct name",57259,"https://lpsn.dsmz.de/species/streptococcus-nakanonensis"
"Streptococcus","oralis","dentisani","CECT 8312; DSM 27088; Str. 7747","VP; comb. nov.; validly published under the ICNP; correct name",794814,"https://lpsn.dsmz.de/subspecies/streptococcus-oralis-dentisani"
"Streptococcus","oralis","oralis","ATCC 35037; CCUG 13229; CCUG 24891; CIP 102922; DSM 20627; JCM 12997; LMG 14532; LVG 1; NCTC 11427; PB 182; SK23","VP; subsp. nov.; validly published under the ICNP; correct name",794813,"https://lpsn.dsmz.de/subspecies/streptococcus-oralis-oralis"
